Sequence	CB_Domain	Between_CB_and_CAT_Domains	CAT_Domain	Total_Length
melanohalea.halei.1_tyr3440	44	14	190	294
lepraria.finkii.1_tyr480	71	31	208	540
lepraria.finkii.1_tyr3086	33	27	273	489
phlyctis.speirea.1_tyr538	33	30	248	696
parmotrema.hypotropum.1_tyr1608	0	14	229	253
sticta.canariensis.1_tyr72	12	29	297	555
nephroma.helveticum.1_tyr1247	71	29	289	689
leptogium.austroamericanum.1_tyr2033	33	29	296	741
dermiscellum.oulocheilum.1_tyr107	67	0	218	553
mycoblastus.sanguinarius.1_tyr806	0	0	164	302
mycoblastus.sanguinarius.1_tyr3796	14	13	187	361
icmadophila.ericetorum.1_tyr613	0	50	195	412
buellia.spuria.2_tyr979	17	29	221	972
lepra.amara.1_tyr2731	0	0	184	363
umbilicaria.deusta.1_tyr455	11	2	204	402
umbilicaria.deusta.2_tyr1592	11	2	204	402
umbilicaria.deusta.3_tyr1593	11	2	204	402
umbilicaria.deusta.1_tyr2735	11	2	204	402
micareopsis.irriguata.1_tyr1708	0	0	209	503
micareopsis.irriguata.1_tyr4069	0	0	128	252
cladonia.metacorallifera.1_tyr1526	46	55	174	276
cladonia.macilenta.1_tyr1721	46	55	174	276
buellia.spuria.2_tyr51	59	14	231	372
seirophora.scorigena.1_tyr60	59	0	201	735
lecanora.oreinoides.1_tyr2764	59	14	227	775
micareopsis.irriguata.1_tyr2304	59	14	241	789
lecanorales.sp..6_tyr1589	59	14	227	775
psora.testacea.1_tyr1198	0	14	188	545
stereocaulon.virgatum.1_tyr1959	73	49	227	756
stereocaulon.virgatum.1_tyr2296	59	14	228	773
fuscopannaria.leucosticta.1_tyr966	59	14	244	398
melanelia.culbersonii.1_tyr3224	59	14	260	635
psora.testacea.1_tyr75	59	15	225	775
parmeliaceae.sp..17_tyr582	49	14	241	525
lepraria.finkii.1_tyr960	58	14	241	665
lepraria.leprolomopsis.1_tyr1810	58	14	233	657
lepraria.neglecta.1_tyr2666	58	14	241	784
caloplaca.aetnensis.1_tyr716	73	50	281	706
lepraria.finkii.1_tyr572	63	20	233	360
lecanorales.sp..4_tyr975	73	20	260	829
umbilicaria.mammulata.1_tyr624	58	14	241	609
umbilicaria.freyi.1_tyr1079	59	12	262	649
umbilicaria.freyi.3_tyr2928	59	12	262	649
lecanorales.sp..2_tyr2300	59	14	258	806
letharia.lupina.1_tyr2846	65	38	262	586
ramalina.siliquosa.1_tyr3423	36	38	262	688
stereocaulon.virgatum.1_tyr4122	36	38	262	557
rhizocarpon.geographicum.1_tyr3412	59	0	261	764
gyalecta.farlowii.1_tyr1066	58	14	240	788
punctelia.appalachensis.1_tyr925	73	30	228	729
cetradonia.linearis.1_tyr3193	59	14	222	785
lecanorales.sp..5_tyr702	45	48	247	752
lecanorales.sp..5_tyr1919	89	27	226	743
lecanora.helva.1_tyr2796	0	14	222	521
peltigera.hydrothyria.1_tyr591	0	0	198	364
diploschistes.diacapsis.1_tyr1354	55	0	218	475
phlyctis.petraea.1_tyr3168	42	38	222	357
punctelia.appalachensis.1_tyr157	0	14	241	560
umbilicaria.crustulosa.1_tyr446	50	15	154	318
umbilicaria.crustulosa.2_tyr1221	0	0	148	405
umbilicaria.vellea.1_tyr1644	5	3	153	536
pilophorus.fibula.1_tyr2273	0	0	178	557
usnea.aurantiacoatra.1_tyr1115	19	14	233	652
punctelia.appalachensis.1_tyr2004	0	14	240	582
phyllopsora.parvifolia.1_tyr1413	0	14	189	494
peltigera.leucophlebia.1_tyr3479	47	14	250	473
umbilicaria.mammulata.1_tyr3706	47	15	240	777
lecidea.sp..1_tyr2799	0	14	201	581
acarospora.sp..1_tyr373	6	14	240	578
buellia.spuria.2_tyr1348	5	8	240	552
cladonia.sp..5_tyr472	0	14	210	266
cladonia.peziziformis.1_tyr751	0	14	210	266
baeomycetales.sp..4_tyr1180	78	17	237	677
lecidea.sp..1_tyr684	0	14	239	502
phlyctis.petraea.1_tyr1522	0	0	177	513
porpidia.subsimplex.1_tyr2619	4	0	169	292
acarospora.socialis.1_tyr3130	46	17	258	571
aspicilia.laevata.1_tyr3361	51	23	245	497
umbilicaria.iberica.1_tyr1168	0	14	198	238
leucodecton.sp..1_tyr3879	72	14	245	748
rhizocarpon.subgeminatum.1_tyr3407	15	50	213	457
umbilicaria.deusta.2_tyr762	12	10	158	795
umbilicaria.deusta.1_tyr2120	12	10	158	795
umbilicaria.deusta.3_tyr2759	12	10	158	795
umbilicaria.deusta.4_tyr2079	12	10	158	795
cypeur1_111219	5	9	230	287
cladophialophora.endolichena.1_tyr2203	4	11	253	589
cladophialophora.sp..2_tyr399	0	0	176	205
cladophialophora.sp..2_tyr400	0	0	176	205
cladophialophora.sp..1_tyr1003	39	11	237	658
cladophialophora.sp..1_tyr1004	0	0	218	390
cladophialophora.sp..1_tyr4136	26	11	237	907
cladophialophora.sp..1_tyr3151	37	11	237	975
chaetothyriales.sp..1_tyr950	31	11	265	645
chaetothyriales.sp..1_tyr1264	31	11	265	645
zymtri4_SMY26934.1	0	0	197	197
arthoniomycete.sp..1_tyr168	5	12	222	252
cyanodermella.asteris.1_tyr3589	16	12	222	267
ptychographa.xylographoides.2_tyr1321	15	12	221	377
ptychographa.xylographoides.1_tyr1363	15	12	221	377
pertusaria.plittiana.1_tyr1285	17	12	225	346
pertusaria.propinqua.1_tyr4079	0	0	225	259
xanthoria.aureola.1_tyr179	15	12	222	296
XcGTX0491_002172-T1	15	12	222	296
xanthoria.sp..1_tyr3657	15	12	222	296
flavoplaca.limonia.1_tyr3663	1	12	223	271
pyrenodesmia.sp..1_tyr3753	18	12	224	301
flavoplaca.limonia.1_tyr495	16	12	222	313
lecanora.masana.1_tyr3081	0	0	215	229
umbilicaria.phaea.1_tyr1193	15	12	223	315
umbilicaria.phaea.3_tyr2049	15	12	223	315
cladonia.diversa.2_tyr1587	15	12	227	304
cladonia.diversa.1_tyr3529	15	12	227	304
cladonia.coccifera.1_tyr2429	15	12	227	304
cladonia.robbinsii.1_tyr1649	15	12	228	323
cladonia.sp..2_tyr3530	15	12	228	323
cladonia.polycarpoides.1_tyr3396	15	12	228	321
cladonia.uncialis.1_tyr1943	15	12	228	322
cladonia.portentosa.1_tyr1897	15	12	228	329
pertusaria.obruta.1_tyr1248	0	0	210	213
aursub2_KEQ98213.1	0	3	231	234
racsp.1_tyr9894	17	9	215	248
cladonia.furcata.1_tyr1068	4	11	225	316
cladonia.sp..7_tyr2486	18	11	226	363
cladonia.sp..6_tyr2493	18	11	226	363
leprocaulon.nicholsiae.1_tyr3065	18	11	160	254
chasp.2_354242	55	28	221	347
zoprhi1_KAF2186083.1	75	30	218	368
gyalecta.farlowii.1_tyr1838	98	49	225	957
cladophialophora.sp..2_tyr2183	98	49	226	1008
icmadophila.ericetorum.1_tyr33	81	47	148	610
icmadophila.ericetorum.2_tyr2976	81	47	225	631
sticta.canariensis.1_tyr3468	54	47	224	695
kuettlingeria.erythrocarpa.1_tyr2630	0	0	196	258
fissurina.insidiosa.1_tyr3001	0	14	225	533
pannaria.tavaresii.1_tyr3625	14	43	198	334
erebil1_455447	62	30	151	284
astsub1_465646	16	0	180	242
porpidia.subsimplex.1_tyr3802	86	47	202	698
sticta.canariensis.1_tyr1454	82	47	229	678
acanthothecis.fontana.1_tyr3737	0	24	229	279
phyllopsora.parvifolia.1_tyr2002	47	21	225	320
sticta.canariensis.1_tyr180	80	45	208	666
porpidia.subsimplex.1_tyr3915	18	40	229	600
punctelia.appalachensis.1_tyr3058	71	48	231	624
pseudocyphellaria.aurata.1_tyr2535	11	11	200	255
monsp.3_tyr8334	42	4	156	276
chasp.4_RMD40828.1	49	20	220	334
endocarpon.pusillum.2_tyr110	4	7	225	604
endocarpon.pusillum.2_tyr2476	4	7	225	604
endocarpon.pusillum.2_tyr3372	4	7	225	569
endocarpon.pusillum.3_tyr2527	4	7	225	604
muellerella.sp..1_tyr1789	4	7	263	496
biatora.appalachensis.1_tyr3378	31	5	95	219
zwackhia.viridis.1_tyr2925	2	0	220	241
massalongia.carnosa.1_tyr3311	3	10	236	293
protoblastenia.rupestris.2_tyr2177	5	11	193	247
endocarpon.pusillum.1_tyr2609	50	18	195	489
coniocarpon.cinnabarinum.2_tyr1581	18	24	208	562
umbilicaria.spodochroa.1_tyr602	50	13	248	578
umbilicaria.spodochroa.1_tyr1687	50	13	248	578
umbilicaria.spodochroa.3_tyr4076	50	13	248	578
opegrapha.moroziana.1_tyr1878	9	4	221	511
pyrtri1_EDU47821.1	48	25	247	418
flavoplaca.austrocitrina.1_tyr723	68	17	377	790
caloplaca.sp..1_tyr2181	12	17	336	704
lecanoromycetidae.sp..1_tyr127	91	30	296	749
acarospora.socialis.1_tyr3129	116	31	262	745
trapelia.coarctata.1_tyr378	21	27	183	236
acarospora.socialis.1_tyr2216	0	14	140	220
psesp.14_KFY24325.1	44	25	220	311
pseudevernia.furfuracea.1_tyr86	45	29	257	331
pseudevernia.furfuracea.1_tyr3917	15	29	246	294
usnea.halei.1_tyr101	45	29	258	389
parmeliaceae.sp..21_tyr682	45	29	258	389
usnea.cavernosa.1_tyr220	45	29	257	392
cladonia.ochrochlora.1_tyr1133	48	29	256	397
cladonia.petrophila.1_tyr2719	48	29	256	396
cladonia.sp..3_tyr3586	48	29	256	396
cladonia.uncialis.4_tyr3273	48	29	256	396
cladonia.coccifera.1_tyr4081	48	29	255	332
melanelia.culbersonii.1_tyr2484	44	29	255	386
melanelia.culbersonii.1_tyr3180	50	29	252	394
parmotrema.reticulatum.1_tyr3664	15	29	255	358
parmotrema.austrosinense.1_tyr501	45	29	249	333
parmeliaceae.sp..7_tyr1084	45	29	249	333
parmotrema.tinctorum.1_tyr848	47	29	256	395
parmeliaceae.sp..15_tyr3537	0	0	256	315
parmotrema.mellissii.1_tyr4041	0	0	256	315
collema.furfuraceum.1_tyr571	43	30	259	389
botryolepraria.lesdainii.1_tyr3146	25	29	252	329
ramalina.thrausta.1_tyr1392	48	29	255	342
ramalina.farinacea.1_tyr3393	3	29	250	283
lecanorales.sp..5_tyr3080	8	24	234	275
cladonia.coccifera.1_tyr2439	45	29	246	377
cladonia.macilenta.1_tyr3228	45	29	259	390
cladonia.macilenta.2_tyr3842	45	29	259	390
lecanora.atra.1_tyr2332	49	29	247	382
lecanorales.sp..5_tyr2453	0	10	232	242
flavoplaca.marina.2_tyr2556	45	28	257	371
variospora.aurantia.1_tyr3292	45	28	256	372
physciaceae.sp..4_tyr802	49	29	258	386
polyblastidium.squamulosum.1_tyr4040	49	29	258	386
heterodermia.obscurata.1_tyr2835	46	29	253	683
heterodermia.langdoniana.1_tyr1258	45	29	262	691
leucodermia.leucomelos.1_tyr2768	20	29	262	334
xylographa.pallens.1_tyr1288	41	29	277	394
trapeliopsis.flexuosa.1_tyr3499	46	29	253	389
baeomycetales.sp..2_tyr1975	56	29	254	399
ionaspis.lacustris.1_tyr2819	51	29	248	383
usnochroma.carphineum.1_tyr2888	0	0	184	255
bacidia.gigantensis.1_tyr4167	46	29	251	393
ptychographa.xylographoides.1_tyr768	50	29	260	388
ptychographa.xylographoides.2_tyr1503	50	29	260	388
melanohalea.halei.1_tyr1352	2	0	195	276
xanthoparmelia.verrucella.1_tyr2252	39	29	221	347
usnea.florida.1_tyr3426	46	29	259	380
lecanorales.sp..2_tyr530	45	29	252	389
pertusaria.plittiana.1_tyr3414	44	29	256	329
buellia.spuria.2_tyr3283	47	29	222	330
flavoplaca.citrina.1_tyr34	40	29	260	386
flavoplaca.marina.2_tyr78	57	29	255	431
flavoplaca.marina.2_tyr549	57	29	255	431
flavoplaca.marina.2_tyr844	57	29	255	431
flavoplaca.marina.2_tyr859	57	29	255	431
flavoplaca.marina.2_tyr1410	57	29	255	431
flavoplaca.marina.2_tyr1439	57	29	255	431
flavoplaca.marina.2_tyr1532	57	29	255	431
flavoplaca.marina.2_tyr3211	57	29	255	431
flavoplaca.marina.1_tyr3213	57	29	255	431
flavoplaca.marina.2_tyr3510	57	29	255	431
flavoplaca.marina.2_tyr4115	57	29	255	431
flavoplaca.marina.2_tyr1290	8	29	255	306
flavoplaca.marina.2_tyr1457	8	29	255	306
flavoplaca.marina.2_tyr266	63	29	255	394
flavoplaca.marina.2_tyr1685	63	29	255	394
flavoplaca.marina.2_tyr1710	63	29	255	394
flavoplaca.marina.2_tyr2498	63	29	255	394
flavoplaca.marina.2_tyr2528	63	29	255	394
flavoplaca.navasiana.2_tyr1993	8	29	255	382
flavoplaca.austrocitrina.1_tyr4097	63	29	255	394
flavoplaca.sp..1_tyr2361	73	29	258	404
kuettlingeria.erythrocarpa.1_tyr700	0	8	256	281
melanohalea.halei.1_tyr2427	8	32	233	317
dendriscocaulon.intricatulum.1_tyr4096	68	32	260	372
umbilicaria.nylanderiana.1_tyr3838	75	32	257	412
umbilicaria.nylanderiana.2_tyr3926	75	32	235	347
lecanorales.sp..2_tyr388	46	29	257	368
imshaugia.aleurites.1_tyr2265	75	29	260	413
imshaugia.aleurites.2_tyr2567	75	29	260	413
phaeophyscia.hispidula.1_tyr2960	23	32	213	278
leucodermia.leucomelos.1_tyr3860	20	32	260	319
lecidella.sp..1_tyr1820	68	30	260	408
lecanora.hybocarpa.1_tyr2977	77	30	260	417
pyrrhospora.varians.1_tyr3775	75	29	232	389
lobaria.pulmonaria.1_tyr474	0	12	252	280
lobaria.immixta.1_tyr2349	45	33	268	361
arthoniomycete.sp..1_tyr581	73	32	256	416
ramalina.siliquosa.1_tyr3421	69	0	251	349
pertusaria.andersoniae.1_tyr225	0	0	223	240
varicellaria.rhodocarpa.1_tyr3174	32	31	260	386
aspicilia.laevata.1_tyr1692	52	31	257	423
exophiala.sp..1_tyr2542	47	32	251	347
exophiala.sp..1_tyr3133	49	31	255	352
pertusaria.ostiolata.1_tyr3427	52	31	256	349
lecanora.hybocarpa.1_tyr316	47	29	257	405
buellia.spuria.1_tyr1883	32	29	244	370
heterodermia.langdoniana.1_tyr1257	47	30	240	329
heterodermia.echinata.1_tyr3898	0	0	196	221
heterodermia.sp..1_tyr3905	0	0	196	221
heterodermia.obscurata.1_tyr1259	50	29	238	368
loekoesia.sp..1_tyr2499	49	29	257	700
lecanorales.sp..2_tyr529	0	0	189	248
lecanorales.sp..2_tyr2350	41	32	246	335
aspasp1_tyr547	40	25	219	303
buellia.stillingiana.1_tyr3619	24	29	191	302
lecanora.hybocarpa.1_tyr1670	52	29	236	380
umbilicaria.phaea.2_tyr434	3	29	295	337
icmadophila.ericetorum.2_tyr1798	37	29	278	344
icmadophila.ericetorum.1_tyr3161	46	29	278	750
dibaeis.baeomyces.1_tyr557	57	29	238	330
teratosphaeriaceae.sp..1_tyr278	32	37	241	369
baeomycetales.sp..4_tyr1237	60	29	365	2022
xylographa.vitiligo.2_tyr3270	101	29	365	1017
xylographa.parallela.1_tyr3961	101	29	365	1017
xylographa.bjoerkii.1_tyr1691	52	28	300	394
lasallia.pustulata.6_tyr21	70	32	242	653
lasallia.pustulata.4_tyr1054	70	32	242	653
lasallia.pustulata.5_tyr1065	70	32	242	653
lasallia.pustulata.7_tyr1800	70	32	242	653
lasallia.pustulata.1_tyr1977	70	32	242	653
lasallia.pustulata.2_tyr2479	70	32	242	653
lasallia.pustulata.3_tyr3932	70	32	242	653
umbilicaria.freyi.3_tyr816	70	32	242	653
umbilicaria.freyi.2_tyr1122	70	32	242	653
umbilicaria.freyi.1_tyr3455	70	32	242	653
lasallia.pustulata.7_tyr835	70	32	242	653
lasallia.pustulata.5_tyr3572	70	32	242	653
lasallia.pustulata.4_tyr1890	70	32	242	653
lasallia.pustulata.3_tyr853	70	32	242	653
lasallia.pustulata.2_tyr2794	70	32	242	653
umbilicaria.deusta.4_tyr2070	70	32	242	653
umbilicaria.hispanica.4_tyr2264	70	32	242	653
umbilicaria.mammulata.1_tyr2782	70	32	242	653
lasallia.papulosa.1_tyr2962	70	32	242	653
umbilicaria.spodochroa.4_tyr283	70	32	242	601
umbilicaria.hispanica.3_tyr421	57	32	242	638
umbilicaria.hispanica.3_tyr667	57	32	242	638
umbilicaria.subpolyphylla.1_tyr1033	56	32	242	621
umbilicaria.polyphylla.4_tyr2902	56	32	242	621
umbilicaria.iberica.1_tyr3832	56	32	242	621
umbilicaria.iberica.2_tyr3834	56	32	242	621
umbilicaria.crustulosa.2_tyr1388	56	32	242	621
lasallia.pustulata.3_tyr490	69	32	242	620
lasallia.pustulata.2_tyr1747	69	32	242	620
umbilicaria.spodochroa.2_tyr604	16	32	190	438
umbilicaria.crustulosa.1_tyr1415	70	32	259	419
umbilicaria.iberica.3_tyr466	70	32	242	580
umbilicaria.spodochroa.2_tyr2688	44	32	244	580
umbilicaria.spodochroa.1_tyr827	87	32	207	542
umbilicaria.spodochroa.3_tyr2016	87	32	207	542
umbilicaria.spodochroa.1_tyr2521	87	32	207	542
umbilicaria.hispanica.4_tyr3652	70	32	214	318
umbilicaria.polyphylla.1_tyr2679	70	32	207	441
umbilicaria.subpolyphylla.1_tyr998	70	32	174	495
umbilicaria.iberica.2_tyr2672	70	32	174	495
umbilicaria.deusta.1_tyr3547	70	32	207	525
umbilicaria.deusta.3_tyr4089	70	32	207	525
umbilicaria.deusta.2_tyr3550	70	32	196	519
umbilicaria.crustulosa.2_tyr1387	70	32	207	374
umbilicaria.crustulosa.1_tyr206	5	32	151	355
umbilicaria.freyi.3_tyr337	48	32	173	372
umbilicaria.freyi.1_tyr3377	48	32	173	372
umbilicaria.grisea.2_tyr666	48	32	169	433
umbilicaria.grisea.3_tyr1254	38	32	179	433
umbilicaria.grisea.1_tyr2933	38	32	179	433
umbilicaria.grisea.2_tyr2586	38	32	152	361
umbilicaria.polyphylla.4_tyr441	37	32	173	395
umbilicaria.nylanderiana.1_tyr1511	36	32	174	371
umbilicaria.subpolyphylla.1_tyr887	38	32	174	459
umbilicaria.iberica.2_tyr1992	38	32	174	459
umbilicaria.iberica.2_tyr1372	5	32	174	424
umbilicaria.subpolyphylla.1_tyr2940	5	32	174	424
umbilicaria.iberica.3_tyr1737	0	0	169	284
umbilicaria.polyphylla.4_tyr3048	0	0	169	315
umbilicaria.iberica.3_tyr2633	38	32	185	461
umbilicaria.polyphylla.3_tyr3734	38	32	174	450
umbilicaria.iberica.2_tyr3685	70	32	209	553
umbilicaria.subpolyphylla.1_tyr3996	70	32	209	553
umbilicaria.iberica.1_tyr3831	0	0	169	341
umbilicaria.nylanderiana.2_tyr1508	38	32	167	421
umbilicaria.polyphylla.4_tyr1696	70	32	209	489
umbilicaria.nylanderiana.2_tyr1507	38	32	174	390
umbilicaria.nylanderiana.2_tyr2047	38	32	174	372
umbilicaria.iberica.3_tyr1102	38	32	197	395
umbilicaria.americana.1_tyr2054	38	32	174	417
umbilicaria.vellea.1_tyr2395	36	32	172	413
umbilicaria.vellea.1_tyr1156	29	32	174	417
umbilicaria.muhlenbergii.1_tyr2677	0	0	151	324
umbilicaria.deusta.1_tyr347	38	32	173	481
umbilicaria.deusta.2_tyr2374	38	32	173	481
umbilicaria.deusta.4_tyr2873	70	32	171	505
umbilicaria.crustulosa.3_tyr1334	48	8	177	424
umbilicaria.grisea.2_tyr276	38	32	166	440
umbilicaria.crustulosa.2_tyr2373	38	32	180	473
umbilicaria.polyphylla.3_tyr825	70	32	183	469
umbilicaria.crustulosa.2_tyr2754	61	32	185	420
umbilicaria.polyphylla.1_tyr3306	38	32	180	457
umbilicaria.crustulosa.2_tyr1337	0	0	149	319
umbilicaria.polyphylla.4_tyr3117	70	32	188	503
umbilicaria.spodochroa.4_tyr4078	0	0	204	424
lasallia.pustulata.4_tyr2308	0	0	164	337
lasallia.pustulata.1_tyr3930	0	0	158	334
umbilicaria.freyi.1_tyr1081	0	0	114	267
umbilicaria.freyi.3_tyr2930	0	0	114	267
umbilicaria.polyphylla.1_tyr3045	11	3	166	398
stictis.urceolata.2_tyr2769	69	34	256	719
xanthoparmelia.verrucella.1_tyr1823	34	19	93	216
aspcos3_tyr926	48	18	194	272
dendriscocaulon.intricatulum.1_tyr934	45	20	147	258
delcon1_470772	58	16	188	316
arthonia.susa.1_tyr48	61	17	207	634
coniocarpon.cinnabarinum.1_tyr976	0	12	190	378
coniocarpon.cinnabarinum.2_tyr3781	0	12	202	390
arthonia.radiata.1_tyr1680	3	17	234	433
teratosphaeriaceae.sp..1_tyr1571	40	9	165	287
pseudosagedia.isidiata.1_tyr477	42	26	230	329
fissurina.insidiosa.1_tyr3590	46	26	226	378
diploschistes.diacapsis.1_tyr1051	0	0	170	302
lasallia.pustulata.7_tyr482	0	0	217	473
lasallia.pustulata.6_tyr1086	0	0	217	473
lasallia.pustulata.5_tyr2410	0	0	217	473
lasallia.pustulata.4_tyr1891	0	0	217	478
lasallia.pustulata.2_tyr2821	0	0	217	478
lasallia.pustulata.3_tyr3967	0	0	217	478
lasallia.pustulata.1_tyr3965	0	0	223	341
flavoplaca.austrocitrina.1_tyr1793	10	1	163	309
leprocaulon.nicholsiae.1_tyr3158	11	10	210	243
xanthoparmelia.taractica.1_tyr115	0	3	232	284
pseudevernia.cladonia.1_tyr3410	9	6	237	560
xanthoparmelia.tasmanica.1_tyr326	8	6	237	490
xanthoparmelia.verrucella.1_tyr798	9	6	237	486
xanthoparmelia.taractica.1_tyr3364	9	6	232	558
parmotrema.mellissii.1_tyr1453	5	6	209	262
parmeliaceae.sp..15_tyr2654	5	6	209	262
hypotrachyna.catawbiensis.1_tyr3019	9	6	233	539
platismatia.glauca.1_tyr3809	9	6	236	556
platismatia.glauca.2_tyr3892	9	6	236	556
cornicularia.normoerica.1_tyr3481	0	0	209	516
cornicularia.normoerica.2_tyr3836	0	0	189	462
pseudephebe.minuscula.1_tyr2975	0	0	153	231
lecanora.helva.1_tyr2151	9	6	254	579
parmeliaceae.sp..20_tyr1062	8	6	239	563
usnea.subscabrosa.1_tyr2298	8	6	239	563
usnea.cornuta.1_tyr2475	8	6	239	563
parmeliaceae.sp..10_tyr3523	8	6	239	563
pseudevernia.cladonia.1_tyr3840	8	6	239	563
usnea.cavernosa.1_tyr3290	8	6	239	563
hypotrachyna.osseoalba.1_tyr1699	8	6	169	443
pseudevernia.furfuracea.3_tyr1485	0	0	221	282
usnea.ceratina.1_tyr1637	0	0	190	232
parmeliaceae.sp..1_tyr2917	0	0	190	232
pectenia.plumbea.1_tyr2272	0	0	221	509
zwackhia.viridis.1_tyr855	32	10	178	484
coniocarpon.cinnabarinum.1_tyr1808	32	14	201	567
coniocarpon.cinnabarinum.2_tyr1478	0	11	253	514
trapelia.coarctata.1_tyr1301	32	19	241	315
trapelia.coarctata.1_tyr3411	7	6	241	549
icmadophila.ericetorum.2_tyr1799	0	5	254	452
icmadophila.ericetorum.1_tyr2978	0	5	254	452
chrysothrix.sp..1_tyr303	54	24	296	663
chrysothrix.sp..1_tyr2178	79	25	295	716
lecanora.hybocarpa.1_tyr563	38	30	252	634
lecanora.rugosella.1_tyr990	55	29	282	677
lecanora.helva.1_tyr4117	54	30	264	663
zwackhia.viridis.1_tyr611	5	4	312	623
