Captain	familyID	Source	Genome
psora.crenata.1_tyr256		Newly-annotated lichen genomes	psora.crenata.1
blaper1_5625	fam01	Gluck-Thaler and Vogan (2024)	blaper1
seirophora.lacunosa.1_tyr3068		Newly-annotated lichen genomes	seirophora.lacunosa.1
xylographa.bjoerkii.1_tyr1640		Newly-annotated lichen genomes	xylographa.bjoerkii.1
pilophorus.fibula.1_tyr173		Newly-annotated lichen genomes	pilophorus.fibula.1
mobergia.calculiformis.1_tyr3516		Newly-annotated lichen genomes	mobergia.calculiformis.1
icmadophila.ericetorum.1_tyr3968		Newly-annotated lichen genomes	icmadophila.ericetorum.1
porpidia.albocaerulescens.1_tyr3320		Newly-annotated lichen genomes	porpidia.albocaerulescens.1
phaeophyscia.squarrosa.1_tyr3355		Newly-annotated lichen genomes	phaeophyscia.squarrosa.1
lecanora.subimmergens.1_tyr3478		Newly-annotated lichen genomes	lecanora.subimmergens.1
umbilicaria.subpolyphylla.1_tyr3558		Newly-annotated lichen genomes	umbilicaria.subpolyphylla.1
placynthium.petersii.1_tyr162		Newly-annotated lichen genomes	placynthium.petersii.1
rinodina.dolichospora.1_tyr1995		Newly-annotated lichen genomes	rinodina.dolichospora.1
dermiscellum.oulocheilum.1_tyr1667		Newly-annotated lichen genomes	dermiscellum.oulocheilum.1
xanthoparmelia.verrucella.1_tyr2858		Newly-annotated lichen genomes	xanthoparmelia.verrucella.1
umbpus1_107339	fam01	Gluck-Thaler and Vogan (2024)	umbpus1
lasallia.pustulata.7_tyr1579		Newly-annotated lichen genomes	lasallia.pustulata.7
lasallia.pustulata.7_tyr3777		Newly-annotated lichen genomes	lasallia.pustulata.7
umbilicaria.nylanderiana.1_tyr505		Newly-annotated lichen genomes	umbilicaria.nylanderiana.1
bacgig1_KAG8531634.1	fam01	Gluck-Thaler and Vogan (2024)	bacgig1
teloschistes.peruensis.1_tyr2827		Newly-annotated lichen genomes	teloschistes.peruensis.1
leucodermia.leucomelos.1_tyr3140		Newly-annotated lichen genomes	leucodermia.leucomelos.1
stereocaulon.dactylophyllum.1_tyr3223		Newly-annotated lichen genomes	stereocaulon.dactylophyllum.1
phyllopsora.corallina.1_tyr703		Newly-annotated lichen genomes	phyllopsora.corallina.1
lecidea.sp..1_tyr1019		Newly-annotated lichen genomes	lecidea.sp..1
stereocaulon.alpinum.1_tyr67		Newly-annotated lichen genomes	stereocaulon.alpinum.1
platismatia.glauca.3_tyr1645		Newly-annotated lichen genomes	platismatia.glauca.3
stereocaulon.virgatum.1_tyr2063		Newly-annotated lichen genomes	stereocaulon.virgatum.1
xylographa.parallela.1_tyr39		Newly-annotated lichen genomes	xylographa.parallela.1
solorina.crocea.1_tyr2958		Newly-annotated lichen genomes	solorina.crocea.1
rinodina.dolichospora.1_tyr3024		Newly-annotated lichen genomes	rinodina.dolichospora.1
opegrapha.moroziana.1_tyr668		Newly-annotated lichen genomes	opegrapha.moroziana.1
pertusaria.ostiolata.1_tyr2466		Newly-annotated lichen genomes	pertusaria.ostiolata.1
umbilicaria.crustulosa.1_tyr1088		Newly-annotated lichen genomes	umbilicaria.crustulosa.1
aspfis5_tyr1169	fam01	Gluck-Thaler and Vogan (2024)	aspfis5
asphir2_tyr1512	fam01	Gluck-Thaler and Vogan (2024)	asphir2
asplat1_tyr1608	fam01	Gluck-Thaler and Vogan (2024)	asplat1
cladonia.squamosa.3_tyr3665		Newly-annotated lichen genomes	cladonia.squamosa.3
blaper1_4705	fam01	Gluck-Thaler and Vogan (2024)	blaper1
artunc1_KAF3492431.1	fam01	Gluck-Thaler and Vogan (2024)	artunc1
blagil1_OAT07656.1	fam01	Gluck-Thaler and Vogan (2024)	blagil1
parmin1_KAF9728395.1	fam01	Gluck-Thaler and Vogan (2024)	parmin1
zoprhi1_KAF2179529.1	fam01	Gluck-Thaler and Vogan (2024)	zoprhi1
zoprhi1_KAF2174473.1	fam01	Gluck-Thaler and Vogan (2024)	zoprhi1
pyrtri10_PZD03750.1	fam01	Gluck-Thaler and Vogan (2024)	pyrtri10
zwackhia.viridis.1_tyr611		Newly-annotated lichen genomes	zwackhia.viridis.1
virvir1_581593	fam01	Gluck-Thaler and Vogan (2024)	virvir1
friend1_TKA26544.1	clade01	Gluck-Thaler and Vogan (2024)	friend1
teratosphaeriaceae.sp..1_tyr278		Newly-annotated lichen genomes	teratosphaeriaceae.sp..1
zascel1_66988	clade01	Gluck-Thaler and Vogan (2024)	zascel1
teratosphaeriaceae.sp..1_tyr2413		Newly-annotated lichen genomes	teratosphaeriaceae.sp..1
mycosphaerellales.sp..1_tyr1726		Newly-annotated lichen genomes	mycosphaerellales.sp..1
