Captain_Sequence	First_Cluster_Rep	Second_Cluster_Rep
cadmal1_KAG4414846.1	cadmal1_KAG4411070.1	lacari1_TVY12806.1
cadmal1_KAG4414944.1	cadmal1_KAG4411070.1	lacari1_TVY12806.1
cadmal1_KAG4414945.1	lepsp.1_636140	psesp.18_KFY46141.1_KFY46142.1
cadmal1_KAG4415543.1	cadmal1_KAG4415543.1	melbic1_634125
cadmal1_KAG4420642.1	cadmal1_KAG4420642.1	phisub1_11482
cadmal1_KAG4423714.1	lepsp.1_416761_702652	cadmal1_KAG4411212.1
cadmal1_KAG4425814.1	cadmal1_KAG4425814.1	lachya1_TVY25302.1
cadmal1_KAG4426813.1	lepsp.1_416761_702652	cadmal1_KAG4411212.1
cadmal1_tyr3683	cadmal1_tyr3683	rhesp.1_tyr9932
cadmal1_tyr3686	cadmal1_tyr3686	acemac1_585016
cadmal1_tyr3689	cadmal1_tyr3689	cadmal1_tyr3689
cadsp.1_136727	cadsp.1_472600	cadmal1_KAG4411212.1
cadsp.1_177134_439370	cadsp.1_177134_439370	cadsp.1_177134_439370
cadsp.1_217496_474833	lepsp.1_416761_702652	cadmal1_KAG4411212.1
cadsp.1_231873	cadsp.1_578123	zalvar1_538602
cadsp.1_413874	cadsp.1_413874	rhyagr1_1871
cadsp.1_421484	cadsp.1_421484	cadsp.1_421484
cadsp.1_433764_553311	cadsp.1_433764_553311	zalvar1_538602
cadsp.1_436838	cadsp.1_436838	rhesp.1_tyr9932
cadsp.1_437647_620720_620728	cadsp.1_437647_620720_620728	cadsp.1_437647_620720_620728
cadsp.1_437797	cadsp.1_437797	cadsp.1_437797
cadsp.1_439078	lepsp.1_620941	melbic1_634125
cadsp.1_439290_522253	lepsp.1_416761_702652	cadmal1_KAG4411212.1
cadsp.1_439439	cadsp.1_439439	cadsp.1_439439
cadsp.1_440088	cadsp.1_440088	cudaci1_KAF4628464.1_KAF4628466.1
cadsp.1_440977_440967_440971_440978	cadsp.1_440977_440967_440971_440978	cadsp.1_440977_440967_440971_440978
cadsp.1_441045_522703	lepsp.1_416761_702652	cadmal1_KAG4411212.1
cadsp.1_443130	cadsp.1_443130	cadsp.1_443130
cadsp.1_443223	cadsp.1_443223	zalvar1_620945
cadsp.1_471581	cadsp.1_471581	cadsp.1_471581
cadsp.1_472600	cadsp.1_472600	cadmal1_KAG4411212.1
cadsp.1_505838	cadsp.1_505838	rhysec1_11509
cadsp.1_519011	cadsp.1_519011	lepsp.1_tyr7918
cadsp.1_520635	cadsp.1_520635	leosp.1_551894_714270
cadsp.1_522176	cadsp.1_505838	rhysec1_11509
cadsp.1_523142_600146	cadsp.1_523142_600146	chlaer1_TAQ83756.1
cadsp.1_523408	cadsp.1_523408	leppal1_OCK78121.1_OCK78122.1_OCK78123.1
cadsp.1_541552	cadsp.1_541552	cadsp.1_541552
cadsp.1_553525_367011	cadsp.1_553525_367011	amores1_PSS18287.1
cadsp.1_578123	cadsp.1_578123	zalvar1_538602
cadsp.1_596343	leosp.1_258164	melbic1_634125
cadsp.1_597158_435646	cadsp.1_597158_435646	cadsp.1_597158_435646
cadsp.1_600433	cadsp.1_600433	cadsp.1_600433
cadsp.1_613722_520924	cadsp.1_613722_520924	cadsp.1_613722_520924
cadsp.1_635843_523052_255371	cadsp.1_635843_523052_255371	psesp.4_1253_1254
cadsp.1_638867	cadsp.1_638867	cadsp.1_638867
cadsp.1_tyr3701	cadsp.1_tyr3701	amyenc1_547861
cadsp.1_tyr3705	cadsp.1_tyr3705	cadsp.1_tyr3705
cadsp.1_tyr3722	cadsp.1_tyr3722	rhesp.1_375297
cadsp.1_tyr3734	cadsp.1_tyr3734	rutsp.3_PQE27954.1
cadsp.1_tyr3740	cadsp.1_tyr3740	cadsp.1_tyr3740
cadsp.1_tyr3749	cadsp.1_tyr3749	cadsp.1_tyr3749
cadsp.2_KAG4427387.1	cadsp.2_KAG4430257.1	melbic1_634125
cadsp.2_KAG4430257.1	cadsp.2_KAG4430257.1	melbic1_634125
cadsp.2_KAG4430540.1_KAG4430541.1	cadsp.2_KAG4430540.1_KAG4430541.1	chlaer1_TAQ83756.1
cadsp.2_KAG4430542.1	cadsp.2_KAG4430542.1	melbic1_634125
cadsp.2_KAG4435782.1	cadsp.2_KAG4435782.1	lepsp.1_481665
cadsp.2_KAG4436364.1	cadsp.2_KAG4436364.1	cadsp.2_KAG4436364.1
cadsp.2_KAG4436738.1	cadsp.2_KAG4436738.1	cadsp.2_KAG4436738.1
cadsp.2_KAG4439199.1	cadsp.2_KAG4439199.1	cadsp.2_KAG4439199.1
cadsp.2_KAG4441364.1	cadsp.2_KAG4441364.1	rhysec1_tyr10005
cadsp.2_KAG4443338.1	cadsp.2_KAG4443338.1	cadsp.2_KAG4443338.1
cadsp.2_KAG4443997.1	cadsp.2_KAG4443997.1	cadsp.2_KAG4443997.1
cadsp.2_tyr3754	cadsp.2_tyr3754	cadsp.1_597158_435646
cadsp.2_tyr3757	cadsp.2_tyr3757	cadsp.2_tyr3757
cadsp.2_tyr3766	cadsp.2_tyr3766	psesp.18_KFY46141.1_KFY46142.1
cadsp.2_tyr3768	cadsp.2_tyr3768	leosp.1_551894_714270
calmar1_178488	calmar1_178488	calmar1_178488
calmar1_292496_409153_537132	calmar1_292496_409153_537132	calmar1_292496_409153_537132
calmar1_388715_516664_544482	calmar1_388715_516664_544482	amyenc1_432340_521054
calmar1_420194_40562	cadsp.1_635843_523052_255371	psesp.4_1253_1254
calmar1_449867	calmar1_449867	amyenc1_547861
calmar1_479840	calmar1_479840	melbic1_634125
calmar1_500693	calmar1_500693	calmar1_500693
calmar1_504588	calmar1_504588	calmar1_504588
calmar1_532639	calmar1_532639	calmar1_532639
calmar1_533103	calmar1_533103	lacari1_TVY12806.1
calmar1_535072	calmar1_535072	rhysec1_tyr10005
calmar1_542014	calmar1_542014	calmar1_542014
calmar1_545985	calmar1_545985	calmar1_545985
calmar1_564594	calmar1_564594	calmar1_564594
calmar1_575317	calmar1_575317	calmar1_575317
calmar1_577054	calmar1_577054	calmar1_577054
calmar1_583873	calmar1_583873	psesp.18_KFY46141.1_KFY46142.1
camtin1_705126	camtin1_705126	cyloli1_552812
camtin1_713837	camtin1_713837	xylbam1_587822
camtin1_716168_716169	camtin1_716168_716169	camtin1_716168_716169
capcor1_5437	capcor1_5437	phamin1_tyr9087
capcor1_937	capcor1_937	capcor1_937
capepi1_1814	capepi1_1814	capepi1_1814
capepi1_7080	capepi1_7080	capepi1_7080
cengeo1_188551_571400	cengeo1_188551_571400	cengeo1_188551_571400
cengeo1_540844	cengeo1_540844	cengeo1_542205
cengeo1_542205	cengeo1_542205	cengeo1_542205
cengeo1_552179	cengeo1_552179	cengeo1_552179
cengeo1_566735	cengeo1_566735	cengeo1_566735
cengeo1_574046	cengeo1_574046	chlaer1_TAQ83756.1
cengeo1_580597	cengeo1_580597	lenflu1_KAF2676861.1
cengeo1_589484_589527_521781	cengeo1_589484_589527_521781	cengeo1_589484_589527_521781
cengeo1_591310	cengeo1_591310	cengeo1_591310
cengeo1_594588	cengeo1_594588	cengeo1_tyr3830
cengeo1_595533	cengeo1_595533	cengeo1_595533
cengeo1_707124_664464	cengeo1_707124_664464	cengeo1_707124_664464
cengeo1_tyr3804	cengeo1_tyr3804	cengeo1_tyr3804
cengeo1_tyr3805	cengeo1_tyr3805	cengeo1_tyr3804
cengeo1_tyr3807	cengeo1_tyr3807	cengeo1_tyr3807
cengeo1_tyr3812	cengeo1_tyr3812	cengeo1_tyr3812
cengeo1_tyr3818	cengeo1_tyr3818	cengeo1_tyr3818
cengeo1_tyr3819	cengeo1_tyr3819	cengeo1_tyr3819
cengeo1_tyr3826	cengeo1_tyr3826	cengeo1_tyr3826
cengeo1_tyr3830	cengeo1_tyr3830	cengeo1_tyr3830
cengeo1_tyr3834	cengeo1_tyr3834	cengeo1_tyr3834
cengeo1_tyr3835	cengeo1_tyr3835	cengeo1_tyr3835
cengeo1_tyr3837	cengeo1_tyr3837	cengeo1_tyr3826
cengeo1_tyr3845	cengeo1_tyr3845	cengeo1_542205
cengeo1_tyr3846	cengeo1_tyr3846	cengeo1_tyr3834
cengeo1_tyr3850	cengeo1_tyr3850	cengeo1_542205
cengeo1_tyr3859	cengeo1_tyr3859	cengeo1_tyr3859
cengeo1_tyr3874	cengeo1_tyr3874	cengeo1_tyr3882
cengeo1_tyr3876	cengeo1_tyr3876	cengeo1_tyr3876
cengeo1_tyr3881	cengeo1_tyr3881	cengeo1_tyr3882
cengeo1_tyr3882	cengeo1_tyr3882	cengeo1_tyr3882
cengeo1_tyr3887	cengeo1_tyr3887	cengeo1_tyr3887
cengeo1_tyr3889	cengeo1_tyr3889	cengeo1_tyr3834
cengeo1_tyr3908	cengeo1_tyr3908	cengeo1_tyr3908
cengeo1_tyr3909	cengeo1_tyr3909	cengeo1_tyr3909
cengeo1_tyr3912	cengeo1_tyr3912	cengeo1_tyr3835
cengeo1_tyr3918	cengeo1_tyr3918	cengeo1_tyr3804
cerber1_4073	cerber1_4073	cerber1_4073
cerber1_6038	cerber1_6038	cerber1_6038
cerber1_tyr3938	cerber1_tyr3938	cerber1_tyr3938
cerber1_tyr3945	cerber1_tyr3945	cerber1_tyr3945
cerber1_tyr3946	cerber1_tyr3946	cerber1_tyr3946
cerber1_tyr3947	cerber1_tyr3947	cerber1_tyr3947
cerbet1_PIA90313.1	cerbet1_PIA90313.1	cerbet1_PIA90313.1
cerbet1_PIA93163.1	cerbet1_PIA93163.1	cerbet1_PIA93163.1
cerbom1_7920	cerbom1_7920	cerbom1_7920
cergua1_330854	cergua1_330854	cergua1_330854
cerkik1_GIZ36531.1	cerzea1_KAF2206157.1	zascel1_30718
cerkik1_GIZ36574.1	cerkik1_GIZ36574.1	cerkik1_GIZ36574.1
cerkik1_GIZ43092.1	cerkik1_GIZ43092.1	zascel1_30718
cerkik1_GIZ46179.1	cerkik1_GIZ46179.1	cerkik1_GIZ46179.1
cerkik1_GIZ48168.1	cerzea1_KAF2206157.1	zascel1_30718
cerkik1_tyr3961	cerkik1_tyr3961	frisim1_tyr5155
cerpla1_KKF92404.1	cerpla1_KKF92404.1	dacest1_591128_591130
cerzea1_KAF2206157.1	cerzea1_KAF2206157.1	zascel1_30718
cerzea1_KAF2216846.1	cerzea1_KAF2216846.1	cerzea1_KAF2216846.1
cerzei1_PKR95533.1	cerzei1_PKR95533.1	cerzei1_PKR95533.1
cerzei1_PKR95569.1	cerzei1_PKR95569.1	cerzei1_PKR95569.1
cerzei1_PKR99281.1_PKR99259.1_PKR99260.1_PKR99280.1	cerzei1_PKR99281.1_PKR99259.1_PKR99260.1_PKR99280.1	cerzei1_PKR99281.1_PKR99259.1_PKR99260.1_PKR99280.1
cerzei1_tyr3972	cerzei1_tyr3972	cerzei1_tyr3972
chafun1_439744	chasp.8_KAH6614601.1	chaglo1_574115
chaglo1_159177	chaglo1_159177	chaglo1_159177
chaglo1_456390	chaglo1_456390	chaglo1_456390
chaglo1_563005	chaglo1_574115	chaglo1_574115
chaglo1_574115	chaglo1_574115	chaglo1_574115
chaglo1_586453	chaglo1_574115	chaglo1_574115
chaglo2_EAQ91198.1	chaglo2_EAQ91198.1	consp.1_1039156
chalon1_407568	chalon1_407568	psesp.18_KFY46141.1_KFY46142.1
chasp.2_300927	chasp.2_300927	chasp.2_300927
chasp.2_354242	chasp.2_354242	chasp.2_354242
chasp.4_RMD39438.1	fusmet1_tyr6071	metmaj1_tyr8185
chasp.4_RMD40828.1	chasp.4_RMD40828.1	chasp.4_RMD40828.1
chasp.4_tyr3990	chasp.4_tyr3990	fushae3_tyr5936
chasp.7_RMZ87307.1_RMZ87306.1	chasp.7_RMZ87307.1_RMZ87306.1	chasp.7_RMZ87307.1_RMZ87306.1
chasp.7_RMZ87469.1	chasp.7_RMZ87469.1	chasp.7_RMZ87469.1
chasp.7_RMZ88114.1	chasp.7_RMZ88114.1	exooli1_142270_142271
chasp.7_RMZ88491.1	chasp.7_RMZ88491.1	fonere1_tyr5142
chasp.7_RMZ89156.1	chasp.7_RMZ89156.1	exooli1_142270_142271
chasp.7_RMZ90284.1	chasp.7_RMZ90284.1	chasp.7_RMZ90284.1
chasp.7_RMZ91819.1	chasp.7_RMZ91819.1	chasp.7_RMZ91819.1
chasp.7_RMZ92414.1	chasp.7_RMZ92414.1	chasp.7_RMZ92414.1
chasp.7_tyr3993	chasp.7_tyr3993	rhimac1_11078
chasp.7_tyr3998	chasp.7_tyr3998	chasp.7_tyr3998
chasp.7_tyr4000	chasp.7_tyr4000	chasp.7_tyr4000
chasp.8_KAH6614601.1	chasp.8_KAH6614601.1	chaglo1_574115
chivir1_KAG9310562.1	chivir1_KAG9310562.1	butros1_KAG8221602.1
chlaer1_TAQ83553.1	chlaer1_TAQ83553.1	chlaer1_TAQ83553.1
chlaer1_TAQ83756.1	chlaer1_TAQ83756.1	chlaer1_TAQ83756.1
chlaer1_TAQ84190.1	chlaer1_TAQ84190.1	rutsp.3_PQE27954.1
chlaer1_TAQ84695.1	chlaer1_TAQ84695.1	stacha2_KFA45515.1
chlaer1_TAQ85415.1	chlaer1_TAQ85415.1	chlaer1_TAQ85415.1
chlaer1_TAQ85577.1	chlaer1_TAQ85577.1	chlaer1_TAQ85577.1
chlaer1_TAQ85911.1	chlaer1_TAQ85911.1	chlaer1_TAQ85911.1
chlaer1_TAQ89768.1	chlaer1_TAQ89768.1	chlaer1_TAQ89768.1
choven1_1052954	choven1_1052954	choven1_1052954
choven1_1647896	choven1_1647896	choven1_1647896
choven1_1791672	choven1_1791672	choven1_1791672
choven1_1792437_1334893_1813210_1792439	choven1_1792437_1334893_1813210_1792439	choven1_1792437_1334893_1813210_1792439
choven1_360229	choven1_360229	trihyb1_897299
choven1_786032	choven1_786032	choven1_786032
choven1_959845_959758	choven1_959845_959758	choven1_959845_959758
claaqu1_127385	claaqu1_127385	lenflu1_KAF2676861.1
claaqu1_134661	claaqu1_134661	lizemp1_186564
claban1_134700	claban1_134700	claban1_134700
claban1_134797	claban1_134797	fonere1_tyr5142
claely1_177683	claely1_177683	claely1_177683
claely1_239709_495665_297403	claely1_239709_495665_297403	altatr1_tyr114
claely1_323064	claely1_323064	bimnov1_472901
claely1_355759	claely1_355759	bipmay1_ENH98990.1
claely1_359667_387801_459734	claely1_359667_387801_459734	pletra1_KAF2849805.1
claely1_378356_348505	claely1_378356_348505	lizemp1_143644
claely1_411666	claely1_411666	lenflu1_KAF2676861.1
claely1_428866	claely1_428866	pyrtri5_tyr9846
claely1_437966	claely1_437966	claely1_437966
claely1_460087_428122	claely1_460087_428122	bipmay1_ENH98990.1
claely1_460396	lizemp1_13492_93273	decgau1_636434
claely1_463329	claely1_463329	claely1_463329
claely1_469256	claely1_469256	pyrtri5_tyr9846
claely1_470273	claely1_470273	claely1_470273
claely1_471417	claely1_471417	pyrtri5_tyr9846
claely1_484092	claely1_484092	gloste1_222527
claely1_486881	claely1_486881	claely1_486881
claely1_487434	claely1_487434	claely1_487434
claely1_83065	claely1_83065	pyrtri5_tyr9846
claful1_187803	pasful1_KAH3649967.1_KAH3649832.1	pasful1_KAH3649967.1_KAH3649832.1
claful1_188447	pasful1_KAH3652355.1	pasful1_KAH3652355.1
claful1_190572	pasful1_KAH3646784.1	pasful1_KAH3646784.1
clagra1_11292	clagra1_11292	clagra1_11292
claimm1_143377	exooli1_142270_142271	exooli1_142270_142271
claimm1_145784	claimm1_145784	claban1_134700
claimm1_150177	claimm1_150177	fusver6_tyr6875
claimm1_tyr4064	claimm1_tyr4064	claimm1_tyr4064
clapsa1_10577	clapsa1_10577	clapsa1_10577
clapsa1_8877	clapsa1_8877	phamin1_tyr9087
clapsa1_9543	exooli1_134015	exooli1_134015
clapsa1_9549	clapsa1_9549	rhimac1_11078
cloaqu1_482612	cloaqu1_482612	cloaqu1_482612
cloaqu1_491779_491768	cloaqu1_491779_491768	cloaqu1_491779_491768
cloaqu1_495597	cloaqu1_495597	cloaqu1_495597
cloaqu1_607969	cloaqu1_607969	lenflu1_KAF2676861.1
cloaqu1_tyr4075	cloaqu1_tyr4075	cloaqu1_tyr4075
cloaqu1_tyr4079	cloaqu1_tyr4079	cloaqu1_tyr4079
cloaqu1_tyr4081	cloaqu1_tyr4081	cloaqu1_tyr4081
cloaqu1_tyr4084	cloaqu1_tyr4084	cloaqu1_tyr4086
cloaqu1_tyr4086	cloaqu1_tyr4086	cloaqu1_tyr4086
cloaqu1_tyr4087	cloaqu1_tyr4087	cloaqu1_tyr4087
clorhi1_VUC02141.1	clorhi1_VUC02141.1	clorhi1_VUC02141.1
clorhi1_VUC03738.1	clorhi1_VUC03738.1	fusman2_tyr6045
clorhi1_VUC05746.1	clorhi1_VUC05746.1	clorhi1_VUC05746.1
clorhi1_VUC06060.1	clorhi1_VUC06060.1	clorhi1_VUC06060.1
clorhi1_VUC09009.1	clorhi1_VUC09009.1	fusrus1_tyr6576
clorhi1_VUC09346.1	clorhi1_VUC09346.1	clorhi1_VUC09346.1
clorhi1_VUC16243.1_VUC16244.1	clorhi1_VUC16243.1_VUC16244.1	clorhi1_VUC16243.1_VUC16244.1
clorhi1_VUC17348.1	clorhi1_VUC17348.1	fusrus1_tyr6576
clorhi1_VUC17573.1	clorhi1_VUC17573.1	cyloli1_552812
clorhi1_tyr4097	clorhi1_tyr4097	metani2_KJK74207.1
coccar1_10167	coccar1_10167	cocvic1_33313
coccar1_111050	coccar1_111050	altlon1_tyr172
coccar1_113244	bipmay2_EMD84663.1	lenflu1_KAF2676861.1
coccar1_40028	bipzei1_EUC29611.1	lizemp1_120833
coccar1_81378	coccar1_81378	coccar1_81378
coccar1_9885_111421	coccar1_9885_111421	coccar1_9885_111421
cocimm1_1126	cocimm2_KMU76246.1_KMU76247.1	cocimm2_KMU76246.1_KMU76247.1
cocimm1_185	cocimm1_185	blaper1_1788
cocimm1_19	cocimm4_KMP10259.1_KMP10260.1	cocpos2_6003
cocimm1_3193	cocimm4_KMP02881.1	cocimm3_KMU91766.1_KMU91767.1
cocimm1_4716	cocimm1_4716	cocimm1_4716
cocimm1_4925	cocimm1_4925	cocimm1_4925
cocimm1_5177_5178	cocimm1_5177_5178	cocimm1_5177_5178
cocimm1_628	cocimm1_628	cocimm1_628
cocimm1_7045	cocpos3_6083	cocimm3_KMU92327.1_KMU92328.1
cocimm1_7113	cocimm1_7113	paeniv1_60142
cocimm1_8270	cocimm1_8270	cocimm1_8270
cocimm1_898	cocimm2_KMU79836.1_KMU79837.1	cocimm2_KMU79836.1_KMU79837.1
cocimm1_9615	cocimm2_KMU79494.1	blaper1_5882
cocimm1_tyr4120	cocimm1_tyr4120	cocimm1_tyr4120
cocimm1_tyr4122	cocimm2_KMU78251.1_KMU78252.1	cocpos4_tyr4211
cocimm1_tyr4125	cocimm1_tyr4125	cocimm1_tyr4125
cocimm2_KMU74102.1	cocimm1_8270	cocimm1_8270
cocimm2_KMU75266.1	cocimm2_KMU75266.1	cocimm3_KMU91766.1_KMU91767.1
cocimm2_KMU76246.1_KMU76247.1	cocimm2_KMU76246.1_KMU76247.1	cocimm2_KMU76246.1_KMU76247.1
cocimm2_KMU77073.1_KMU77074.1_KMU77075.1	cocimm2_KMU77073.1_KMU77074.1_KMU77075.1	blaper1_1788
cocimm2_KMU78251.1_KMU78252.1	cocimm2_KMU78251.1_KMU78252.1	cocpos4_tyr4211
cocimm2_KMU79335.1_KMU79336.1	cocimm3_KMU92035.1_KMU92036.1	cocimm4_KMP02526.1_KMP02527.1_KMP02528.1_KMP02529.1
cocimm2_KMU79494.1	cocimm2_KMU79494.1	blaper1_5882
cocimm2_KMU79836.1_KMU79837.1	cocimm2_KMU79836.1_KMU79837.1	cocimm2_KMU79836.1_KMU79837.1
cocimm2_KMU81246.1	cocimm1_628	cocimm1_628
cocimm2_KMU81614.1	cocimm2_KMU81614.1	cocimm2_KMU81614.1
cocimm2_tyr4128	cocimm1_tyr4120	cocimm1_tyr4120
cocimm2_tyr4130	cocimm2_tyr4130	cocimm3_KMU92327.1_KMU92328.1
cocimm3_KMU88075.1	cocimm2_KMU76246.1_KMU76247.1	cocimm2_KMU76246.1_KMU76247.1
cocimm3_KMU88194.1_KMU88195.1	cocimm3_KMU88194.1_KMU88195.1	cocimm3_KMU88194.1_KMU88195.1
cocimm3_KMU88431.1	cocimm1_tyr4120	cocimm1_tyr4120
cocimm3_KMU89182.1	cocimm1_8270	cocimm1_8270
cocimm3_KMU89387.1	cocimm1_628	cocimm1_628
cocimm3_KMU89937.1_KMU89938.1	cocimm3_KMU89937.1_KMU89938.1	cocimm3_KMU89937.1_KMU89938.1
cocimm3_KMU91080.1_KMU91081.1	cocimm2_KMU78251.1_KMU78252.1	cocpos4_tyr4211
cocimm3_KMU91766.1_KMU91767.1	cocimm3_KMU91766.1_KMU91767.1	cocimm3_KMU91766.1_KMU91767.1
cocimm3_KMU92035.1_KMU92036.1	cocimm3_KMU92035.1_KMU92036.1	cocimm4_KMP02526.1_KMP02527.1_KMP02528.1_KMP02529.1
cocimm3_KMU92067.1	cocimm4_KMP05464.1	cocimm4_KMP05464.1
cocimm3_KMU92130.1_KMU92131.1	cocimm3_KMU92130.1_KMU92131.1	cocpos2_6003
cocimm3_KMU92327.1_KMU92328.1	cocimm3_KMU92327.1_KMU92328.1	cocimm3_KMU92327.1_KMU92328.1
cocimm3_KMU92420.1	cocimm4_tyr4167	cocimm4_tyr4167
cocimm3_KMU92426.1_KMU92427.1	cocimm3_KMU92426.1_KMU92427.1	cocimm3_KMU92426.1_KMU92427.1
cocimm4_KMP01769.1	cocimm2_KMU76246.1_KMU76247.1	cocimm2_KMU76246.1_KMU76247.1
cocimm4_KMP02012.1_KMP02013.1	cocimm4_KMP02012.1_KMP02013.1	cocimm2_KMU79836.1_KMU79837.1
cocimm4_KMP02526.1_KMP02527.1_KMP02528.1_KMP02529.1	cocimm4_KMP02526.1_KMP02527.1_KMP02528.1_KMP02529.1	cocimm4_KMP02526.1_KMP02527.1_KMP02528.1_KMP02529.1
cocimm4_KMP02881.1	cocimm4_KMP02881.1	cocimm3_KMU91766.1_KMU91767.1
cocimm4_KMP05411.1	cocimm4_KMP05411.1	cocimm3_KMU92327.1_KMU92328.1
cocimm4_KMP05464.1	cocimm4_KMP05464.1	cocimm4_KMP05464.1
cocimm4_KMP08228.1	cocimm2_KMU79494.1	blaper1_5882
cocimm4_KMP08947.1	cocimm1_8270	cocimm1_8270
cocimm4_KMP09284.1_KMP09285.1_KMP09286.1	cocimm2_KMU78251.1_KMU78252.1	cocpos4_tyr4211
cocimm4_KMP09339.1	cocimm1_tyr4120	cocimm1_tyr4120
cocimm4_KMP09863.1	cocimm1_628	cocimm1_628
cocimm4_KMP10201.1	cocimm4_KMP10201.1	paeniv1_60818
cocimm4_KMP10241.1	cocimm4_KMP10241.1	pesfic1_tyr9064
cocimm4_KMP10259.1_KMP10260.1	cocimm4_KMP10259.1_KMP10260.1	cocpos2_6003
cocimm4_tyr4159	cocimm4_tyr4159	cocimm4_tyr4159
cocimm4_tyr4167	cocimm4_tyr4167	cocimm4_tyr4167
coclun1_21111	coclun1_21111	decgau1_636434
cocmiy1_10072	bipory1_EUC39949.1	bipmay2_EMD97612.1
cocmiy1_109718	bipmay2_EMD84663.1	lenflu1_KAF2676861.1
cocmiy1_110398	bipmay2_EMD84663.1	lenflu1_KAF2676861.1
cocmiy1_111085	cocmiy1_111085	lenflu1_KAF2676861.1
cocmiy1_41658	cocmiy1_41658	cocmiy1_41658
cocmiy1_41893_111066	cocmiy1_41893_111066	cocmiy1_41893_111066
cocpos2_2495	cocpos2_2495	cocimm4_KMP02526.1_KMP02527.1_KMP02528.1_KMP02529.1
cocpos2_4	cocpos4_EFW15763.1_EFW15762.1	blaper1_3581
cocpos2_500	cocpos4_EFW13426.1	cocimm2_KMU76246.1_KMU76247.1
cocpos2_5483	cocpos4_EFW18030.1_EFW18031.1	cocpos4_EFW18030.1_EFW18031.1
cocpos2_6003	cocpos2_6003	cocpos2_6003
cocpos2_6485	cocpos5_KMM70339.1	aspfla13_tyr1195
cocpos2_6934	cocpos2_6934	blaper1_6359
cocpos2_tyr4183	cocpos5_KMM65368.1_KMM65369.1_KMM65370.1	cocpos5_KMM65368.1_KMM65369.1_KMM65370.1
cocpos2_tyr4187	cocpos2_tyr4187	cocimm3_KMU92327.1_KMU92328.1
cocpos2_tyr4188	cocpos2_tyr4188	cocpos4_tyr4222
cocpos2_tyr4190	cocpos4_EFW20079.1_EFW20080.1	cocpos4_EFW20079.1_EFW20080.1
cocpos3_10046	cocpos4_EFW13352.1	cocpos2_6003
cocpos3_3255	cocpos4_EFW20079.1_EFW20080.1	cocpos4_EFW20079.1_EFW20080.1
cocpos3_3300	cocpos5_KMM73308.1	cocpos5_KMM73308.1
cocpos3_5266	cocpos4_EFW18580.1	hiscap1_5913
cocpos3_5668	cocpos4_EFW18030.1_EFW18031.1	cocpos4_EFW18030.1_EFW18031.1
cocpos3_6083	cocpos3_6083	cocimm3_KMU92327.1_KMU92328.1
cocpos3_7389_7390	cocpos4_EFW15763.1_EFW15762.1	blaper1_3581
cocpos3_8075	cocpos5_KMM70339.1	aspfla13_tyr1195
cocpos3_9975	cocpos4_EFW13426.1	cocimm2_KMU76246.1_KMU76247.1
cocpos3_tyr4197	cocpos4_tyr4222	cocpos4_tyr4222
cocpos3_tyr4201	cocpos4_tyr4211	cocpos4_tyr4211
cocpos3_tyr4202	cocpos4_tyr4215	cocpos4_tyr4215
cocpos3_tyr4208	cocpos5_KMM65368.1_KMM65369.1_KMM65370.1	cocpos5_KMM65368.1_KMM65369.1_KMM65370.1
cocpos4_EFW13352.1	cocpos4_EFW13352.1	cocpos2_6003
cocpos4_EFW13426.1	cocpos4_EFW13426.1	cocimm2_KMU76246.1_KMU76247.1
cocpos4_EFW15377.1	cocpos5_KMM70339.1	aspfla13_tyr1195
cocpos4_EFW15763.1_EFW15762.1	cocpos4_EFW15763.1_EFW15762.1	blaper1_3581
cocpos4_EFW17640.1	cocpos3_6083	cocimm3_KMU92327.1_KMU92328.1
cocpos4_EFW18030.1_EFW18031.1	cocpos4_EFW18030.1_EFW18031.1	cocpos4_EFW18030.1_EFW18031.1
cocpos4_EFW18580.1	cocpos4_EFW18580.1	hiscap1_5913
cocpos4_EFW20079.1_EFW20080.1	cocpos4_EFW20079.1_EFW20080.1	cocpos4_EFW20079.1_EFW20080.1
cocpos4_EFW20125.1	cocpos5_KMM73308.1	cocpos5_KMM73308.1
cocpos4_tyr4211	cocpos4_tyr4211	cocpos4_tyr4211
cocpos4_tyr4215	cocpos4_tyr4215	cocpos4_tyr4215
cocpos4_tyr4222	cocpos4_tyr4222	cocpos4_tyr4222
cocpos4_tyr4224	cocpos5_KMM65368.1_KMM65369.1_KMM65370.1	cocpos5_KMM65368.1_KMM65369.1_KMM65370.1
cocpos5_KMM63656.1_KMM63657.1	cocpos5_KMM63656.1_KMM63657.1	cocpos2_6003
cocpos5_KMM64696.1	cocpos4_EFW13426.1	cocimm2_KMU76246.1_KMU76247.1
cocpos5_KMM65368.1_KMM65369.1_KMM65370.1	cocpos5_KMM65368.1_KMM65369.1_KMM65370.1	cocpos5_KMM65368.1_KMM65369.1_KMM65370.1
cocpos5_KMM68699.1	hiscap5_EER40871.1	cocimm2_KMU79836.1_KMU79837.1
cocpos5_KMM68735.1	cocpos4_EFW18030.1_EFW18031.1	cocpos4_EFW18030.1_EFW18031.1
cocpos5_KMM68959.1	cocpos5_KMM68959.1	cocpos5_KMM68959.1
cocpos5_KMM69757.1	cocpos5_KMM69757.1	aspnid3_tyr2023
cocpos5_KMM70339.1	cocpos5_KMM70339.1	aspfla13_tyr1195
