>SBS000001 [organism=Pyricularia oryzae] [lineage=Fungi; Magnaporthales; Pyriculariaceae; Pyricularia] [location=CP034207.1:4887211.0-4979594.0] [assembly=GCA_004346965.1] [family=Arwing]
>SBS000334 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=KQ087359.1:1580833.0-1754275.0] [family=Prometheus]
>SBS000335 [organism=Penicillium sp.] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=Hephaestus]
>SBS000336 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=Chr3AfumigatusAf293:1012508.0-1089695.0] [family=Enterprise]
>SBS000337 [organism=Aspergillus protuberus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAJAEC010000021.1:437600.0-489760.0] [family=Hephaestus]
>SBS000338 [organism=Aspergillus oryzae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=None:nan-nan] [family=Galactica]
>SBS000339 [organism=Aspergillus sydowii] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=KV878583.1:2576163.0-2682904.0] [family=Tardis]
>SBS000340 [organism=Fusarium virguliforme] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAJGQB010000004.1:512947.0-559276.0] [family=Phoenix]
>SBS000341 [organism=Aspergillus melleus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JADPPX010000005.1:1651471.0-1756011.0] [family=Galactica]
>SBS000342 [organism=Aspergillus sojae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=None:nan-nan] [family=Galactica]
>SBS000343 [organism=Penicillium roqueforti] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=None]
>SBS000344 [organism=Fusarium sp.] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JACTAS010000073.1:60452.0-124882.0] [family=Phoenix]
>SBS000345 [organism=Penicillium flavigenum] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=scaffold47:23760.0-56546.0] [family=Prometheus]
>SBS000346 [organism=Fusarium mangiferae] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=scaffold5:1095003.0-1228833.0] [family=Galactica]
>SBS000347 [organism=Aspergillus flavus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CP047249.1:168352.0-299653.0] [family=Prometheus]
>SBS000348 [organism=Aspergillus jensenii] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAJAED010000037.1:291891.0-313429.0] [family=Enterprise]
>SBS000349 [organism=Aspergillus niger] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=None:nan-nan] [family=Galactica]
>SBS000350 [organism=Aspergillus niger] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=VTFN01000002.1:1975989.0-2149115.0] [family=Hephaestus]
>SBS000351 [organism=Aspergillus melleus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JADPPX010000001.1:5530902.0-5589479.0] [family=Tardis]
>SBS000352 [organism=Aspergillus flavus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CP051064.1:428862.0-488706.0] [family=Prometheus]
>SBS000353 [organism=Aspergillus calidoustus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=scaffold14:397876.0-488010.0] [family=Hephaestus]
>SBS000354 [organism=Aspergillus vadensis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=None:nan-nan] [family=Galactica]
>SBS000355 [organism=Aspergillus jensenii] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAJAED010000003.1:1058917.0-1139481.0] [family=Prometheus]
>SBS000357 [organism=Alternaria alternata] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=CP061882.1:1735578.0-1823059.0] [family=Voyager]
>SBS000358 [organism=Fusarium oxysporum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAELUR010000012.1:1378046.0-1511122.0] [family=Arwing]
>SBS000359 [organism=Aspergillus luchuensis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=AP024429.1:5483656.0-5535611.0] [family=Prometheus]
>SBS000360 [organism=Penicillium chrysogenum] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=Hephaestus]
>SBS000361 [organism=Aspergillus cristatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=MAQV01000005.1:546210.0-562510.0] [family=Phoenix]
>SBS000362 [organism=Aspergillus parasiticus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CP051033.1:626658.0-689108.0] [family=Prometheus]
>SBS000363 [organism=Alternaria gaisen] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=None:nan-nan] [family=Voyager]
>SBS000364 [organism=Fusarium xylarioides] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JADFTY010000057.1:16481.0-67268.0] [family=None]
>SBS000365 [organism=Fusarium oxysporum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=supercont11:87592.0-172880.0] [family=Arwing]
>SBS000366 [organism=Talaromyces rugulosus] [lineage=Fungi; Eurotiales; Trichocomaceae; Talaromyces] [location=None:nan-nan] [family=Hephaestus]
>SBS000367 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=DS499599.1:1963650.0-2016704.0] [family=Hephaestus]
>SBS000368 [organism=Coccidioides immitis] [lineage=Fungi; Onygenales; None; Coccidioides] [location=DS017003.1:118066.0-188234.0] [family=Phoenix]
>SBS000369 [organism=Fusarium fujikuroi] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=CP023110.1:547922.0-641689.0] [family=Arwing]
>SBS000370 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=Supercontig5:1639775.0-1706592.0] [family=Tardis]
>SBS000371 [organism=Paracoccidioides brasiliensis] [lineage=Fungi; Onygenales; None; Paracoccidioides] [location=KN275960.1:2302398.0-2322097.0] [family=Prometheus]
>SBS000372 [organism=Aspergillus fischeri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=DS027690.1:2298297.0-2325593.0] [assembly=GCF_000149645.3] [family=Tardis]
>SBS000373 [organism=Aspergillus cibarius] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=None:nan-nan] [family=Prometheus]
>SBS000374 [organism=Lasallia pustulata] [lineage=Fungi; Umbilicariales; Umbilicariaceae; Lasallia] [location=FWEW01002174.1:76156.0-141422.0] [assembly=GCA_900169345.1] [family=Phoenix]
>SBS000375 [organism=Aspergillus nidulans] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAAFYM010000014.1:366777.0-391519.0] [family=None]
>SBS000376 [organism=Aspergillus niger] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=None:nan-nan] [family=Galactica]
>SBS000377 [organism=Aspergillus fischeri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=DS027697.1:348415.0-365498.0] [assembly=GCF_000149645.3] [family=None]
>SBS000378 [organism=Aspergillus jensenii] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAJAED010000048.1:29320.0-57722.0] [family=Enterprise]
>SBS000379 [organism=Fusarium virguliforme] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAJGQB010000001.1:2725413.0-2838167.0] [family=Arwing]
>SBS000380 [organism=Aspergillus steynii] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=MSFO01000004.1:425580.0-561626.0] [family=Enterprise]
>SBS000381 [organism=Aspergillus fischeri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=DS027697.1:1278275.0-1326835.0] [assembly=GCF_000149645.3] [family=Enterprise]
>SBS000382 [organism=Paracoccidioides lutzii] [lineage=Fungi; Onygenales; None; Paracoccidioides] [location=KN293995:620826.0-636564.0] [family=Prometheus]
>SBS000383 [organism=Fusarium sp. 'flavolapis'] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JADAQZ010000049.1:2892544.0-2971458.0] [family=Phoenix]
>SBS000384 [organism=Aspergillus sp.] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=WOYA01000014.1:737783.0-790181.0] [family=Hephaestus]
>SBS000385 [organism=Aspergillus pseudonomiae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=ML736877.1:7514.0-50904.0] [assembly=GCF_009193645.1] [family=Prometheus]
>SBS000386 [organism=Fusarium oxysporum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=CM010344.1:2091907.0-2184407.0] [family=Arwing]
>SBS000387 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=GG692421.1:2484669.0-2516309.0] [family=Phoenix]
>SBS000388 [organism=Penicillium rubens] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=AM920430.1:297470.0-313180.0] [assembly=GCF_000226395.1] [family=None]
>SBS000389 [organism=Aspergillus sp.] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=None:nan-nan] [family=None]
>SBS000390 [organism=Exserohilum rostratum] [lineage=Fungi; Pleosporales; Pleosporaceae; Exserohilum] [location=None:nan-nan] [family=None]
>SBS000391 [organism=Aspergillus oryzae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAGJDX010000022.1:861449.0-907696.0] [family=Prometheus]
>SBS000392 [organism=Aspergillus cristatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=MAQV01000009.1:1298401.0-1359992.0] [family=Hephaestus]
>SBS000393 [organism=Aspergillus flavus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CP051063.1:2744432.0-2895911.0] [family=Enterprise]
>SBS000394 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=CP069103.1:3315547.0-3392588.0] [family=Prometheus]
>SBS000395 [organism=Alternaria atra] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=CAJRGZ010000015.1:5153605.0-5263393.0] [family=Voyager]
>SBS000396 [organism=Fonsecaea pedrosoi] [lineage=Fungi; Chaetothyriales; Herpotrichiellaceae; Fonsecaea] [location=None:nan-nan] [family=Galactica]
>SBS000397 [organism=Aspergillus chevalieri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BCIE01000007.1:719589.0-907023.0] [family=Phoenix]
>SBS000398 [organism=Fusarium cf.] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=WEVC01000005.1:215645.0-254019.0] [family=Phoenix]
>SBS000399 [organism=Penicillium sp.] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=Phoenix]
>SBS000400 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CM000171.1:639099.0-688505.0] [family=Enterprise]
>SBS000401 [organism=Aspergillus fischeri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=WHVT01000084.1:39234.0-59731.0] [assembly=GCA_016748045.1] [family=None]
>SBS000402 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=None:nan-nan] [family=Voyager]
>SBS000403 [organism=Aspergillus niger] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CM033104.1:1954844.0-2053856.0] [family=Enterprise]
>SBS000404 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=CP069106.1:601758.0-664036.0] [family=Phoenix]
>SBS000405 [organism=Fusarium oxysporum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=CM028854.1:2051185.0-2143793.0] [family=Arwing]
>SBS000406 [organism=Fusarium oxysporum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAELUR010000008.1:2329869.0-2586538.0] [family=Arwing]
>SBS000407 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=GG692419.1:1927598.0-1943792.0] [family=Tardis]
>SBS000408 [organism=Alternaria tenuissima] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=PDXC01000012.1:532095.0-561491.0] [family=Voyager]
>SBS000409 [organism=Fusarium culmorum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=PVEM01000014.1:122127.0-216397.0] [family=Arwing]
>SBS000410 [organism=Aspergillus novofumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=scaffold2:589271.0-614022.0] [assembly=GCF_002847465.1] [family=Tardis]
>SBS000411 [organism=Aspergillus niger] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=LKBF01000013.1:3275548.0-3434057.0] [family=Enterprise]
>SBS000412 [organism=Fusarium virguliforme] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAJHJD010000020.1:100490.0-177230.0] [family=Prometheus]
>SBS000413 [organism=Aspergillus lentulus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAAAPT010000095.1:92660.0-112325.0] [family=Hephaestus]
>SBS000414 [organism=Blastomyces dermatitidis] [lineage=Fungi; Onygenales; Ajellomycetaceae; Blastomyces] [location=GL538409.1:38682.0-125604.0] [family=Phoenix]
>SBS000415 [organism=Aspergillus oryzae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=MKZY01000002.1:4532518.0-4650602.0] [family=Prometheus]
>SBS000416 [organism=Coccidioides immitis] [lineage=Fungi; Onygenales; None; Coccidioides] [location=DS028101.1:380332.0-511243.0] [family=Prometheus]
>SBS000417 [organism=Aspergillus awamori] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BDHI01000007.1:1072819.0-1145447.0] [assembly=GCA_003850985.1] [family=Enterprise]
>SBS000418 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=CP069105.1:4012847.0-4061429.0] [family=Prometheus]
>SBS000419 [organism=Aspergillus sp.] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JACWGA010000021.1:174097.0-289801.0] [family=Phoenix]
>SBS000420 [organism=Aspergillus cristatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JXNT01000006.1:332706.0-348016.0] [family=Prometheus]
>SBS000421 [organism=Aspergillus fischeri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=None:nan-nan] [family=Hephaestus]
>SBS000422 [organism=Talaromyces stipitatus] [lineage=Fungi; Eurotiales; Trichocomaceae; Talaromyces] [location=None:nan-nan] [family=Hephaestus]
>SBS000423 [organism=Trichoderma asperellum] [lineage=Fungi; Hypocreales; Hypocreaceae; Trichoderma] [location=None:nan-nan] [family=None]
>SBS000424 [organism=Aspergillus sojae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BJBK01000011.1:90067.0-138219.0] [family=Enterprise]
>SBS000425 [organism=Coccidioides posadasii] [lineage=Fungi; Onygenales; None; Coccidioides] [location=DS268111.1:4232922.0-4263397.0] [family=Prometheus]
>SBS000426 [organism=Aspergillus awamori] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=None:nan-nan] [family=None]
>SBS000427 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=Supercontig4:2399884.0-2472854.0] [family=Prometheus]
>SBS000428 [organism=Aspergillus oryzae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAGJDX010000020.1:426015.0-493504.0] [family=Prometheus]
>SBS000429 [organism=Aspergillus chevalieri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=AP024423.1:1453547.0-1478376.0] [family=Enterprise]
>SBS000430 [organism=Bipolaris zeicola] [lineage=Fungi; Pleosporales; Pleosporaceae; Bipolaris] [location=None:nan-nan] [family=Voyager]
>SBS000431 [organism=Colletotrichum sidae] [lineage=Fungi; Glomerellales; Glomerellaceae; Colletotrichum] [location=QAPF01000068.1:31281.0-46907.0] [assembly=GCA_004367935.1] [family=Arwing]
>SBS000432 [organism=Penicillium chrysogenum] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=Galactica]
>SBS000434 [organism=Aspergillus luchuensis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BJBQ01000013.1:735986.0-787860.0] [family=Prometheus]
>SBS000435 [organism=Aspergillus niger] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=LLBX01000001.1:548955.0-767421.0] [family=Hephaestus]
>SBS000436 [organism=Botrytis sinoallii] [lineage=Fungi; Helotiales; Sclerotiniaceae; Botrytis] [location=RCTB01000012.1:1233208.0-1291273.0] [assembly=GCF_014898435.1] [family=Moya]
>SBS000437 [organism=Aspergillus oryzae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CM030963.1:5859588.0-5915393.0] [family=Prometheus]
>SBS000438 [organism=Aspergillus chevalieri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=AP024419.1:3368533.0-3386132.0] [family=Prometheus]
>SBS000439 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=Supercontig4:2127653.0-2185038.0] [family=Enterprise]
>SBS000440 [organism=Fusarium oxysporum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=CM008290.1:5065093.0-5193406.0] [family=Prometheus]
>SBS000441 [organism=Melanconium sp.] [lineage=Fungi; Diaporthales; Melanconidaceae; Melanconium] [location=None:nan-nan] [family=Enterprise]
>SBS000442 [organism=Aspergillus chevalieri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BCIE01000005.1:985049.0-1007361.0] [family=Prometheus]
>SBS000443 [organism=Aspergillus fischeri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=VWYA01000035.1:218733.0-239441.0] [family=None]
>SBS000444 [organism=Aspergillus flavus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CP059863.1:3335952.0-3383261.0] [family=Enterprise]
>SBS000445 [organism=Aspergillus flavus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CP051095.1:2666350.0-2804875.0] [family=Enterprise]
>SBS000446 [organism=Orbilia oligospora] [lineage=Fungi; Orbiliales; Orbiliaceae; Orbilia] [location=WIRA01000057.1:124889.0-200875.0] [assembly=GCA_011066565.1] [family=Phoenix]
>SBS000447 [organism=Verticillium dahliae] [lineage=Fungi; Glomerellales; Plectosphaerellaceae; Verticillium] [location=scaffold4:616626.0-1127742.0] [assembly=GCA_020726535.1] [family=Serenity]
>SBS000448 [organism=Alternaria alternata] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=JADGIO010000010.1:382774.0-531504.0] [family=Prometheus]
>SBS000449 [organism=Aspergillus fischeri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=VWYB01000060.1:116634.0-137127.0] [family=Voyager]
>SBS000450 [organism=Fonsecaea nubica] [lineage=Fungi; Chaetothyriales; Herpotrichiellaceae; Fonsecaea] [location=scaffold51:66881.0-153067.0] [family=Enterprise]
>SBS000451 [organism=Podospora anserina] [lineage=Fungi; Sordariales; Chaetomiaceae; Podospora] [location=None:nan-nan] [family=Enterprise]
>SBS000452 [organism=Aspergillus oryzae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAGJDX010000018.1:746380.0-851226.0] [family=Enterprise]
>SBS000453 [organism=Aspergillus cristatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=MAQV01000004.1:2462292.0-2548908.0] [family=Galactica]
>SBS000454 [organism=Fusarium fujikuroi] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=None:nan-nan] [family=Arwing]
>SBS000455 [organism=Penicillium roqueforti] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=Galactica]
>SBS000456 [organism=Penicillium decumbens] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=Hephaestus]
>SBS000457 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=CP069103.1:6175022.0-6219029.0] [family=Phoenix]
>SBS000458 [organism=Alternaria solani] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=None:nan-nan] [family=Voyager]
>SBS000459 [organism=Aspergillus aculeatinus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JADPID010000003.1:681005.0-749271.0] [family=Galactica]
>SBS000460 [organism=Aspergillus sojae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CP035528.1:384634.0-432792.0] [family=Enterprise]
>SBS000461 [organism=Aspergillus unguis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAGUQD010000010.1:861115.0-890750.0] [family=Hephaestus]
>SBS000462 [organism=Aspergillus calidoustus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CDMC01000002.1:1885700.0-1963428.0] [family=Hephaestus]
>SBS000463 [organism=Penicillium camemberti] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=Hephaestus]
>SBS000464 [organism=Aspergillus fischeri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=DS027696.1:5958928.0-5976183.0] [assembly=GCF_000149645.3] [family=Enterprise]
>SBS000465 [organism=Aspergillus indologenus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=scaffold24:80894.0-132765.0] [assembly=GCA_003184685.1] [family=Tardis]
>SBS000466 [organism=Penicillium chrysogenum] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=Hephaestus]
>SBS000467 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=KQ087375.1:420179.0-484512.0] [family=Galactica]
>SBS000468 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=Supercontig1:840531.0-876172.0] [family=Prometheus]
>SBS000469 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=Supercontig9:1241989.0-1282368.0] [family=Prometheus]
>SBS000470 [organism=Fusarium fujikuroi] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=None:nan-nan] [family=Enterprise]
>SBS000471 [organism=Alternaria longipes] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=JAHLEY010000006.1:6360355.0-6434712.0] [family=Voyager]
>SBS000472 [organism=Aspergillus cristatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAIWPM010000190.1:6923.0-23212.0] [family=Phoenix]
>SBS000473 [organism=Alternaria longipes] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=CM032461.1:1723536.0-1922504.0] [family=Prometheus]
>SBS000474 [organism=Fusarium proliferatum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=PKMI01000015.1:225386.0-293993.0] [family=Arwing]
>SBS000475 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=Supercontig6:1466945.0-1515106.0] [family=Prometheus]
>SBS000476 [organism=Alternaria arborescens] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=PDWY01000033.1:26461.0-42668.0] [family=Voyager]
>SBS000477 [organism=Pyricularia oryzae] [lineage=Fungi; Magnaporthales; Pyriculariaceae; Pyricularia] [location=CM001231.1:7717034.0-7942392.0] [assembly=GCF_000002495.2] [family=Enterprise]
>SBS000478 [organism=Fusarium proliferatum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=PKMI01000028.1:2884942.0-2968482.0] [family=Enterprise]
>SBS000479 [organism=Spiromastix sp.] [lineage=Fungi; Onygenales; None; Spiromastix] [location=None:nan-nan] [family=Prometheus]
>SBS000480 [organism=Aspergillus oryzae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CM030955.1:5847509.0-5906469.0] [family=Prometheus]
>SBS000481 [organism=Aspergillus ochraceus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=SSOS01000003.1:3598732.0-3688411.0] [family=Enterprise]
>SBS000482 [organism=Aspergillus luchuensis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=scaffold5:2213211.0-2260753.0] [assembly=GCA_001890685.1] [family=Prometheus]
>SBS000483 [organism=Aspergillus cristatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=scaffold16:97282.0-114322.0] [family=Phoenix]
>SBS000484 [organism=Alternaria alternata] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=VEOJ01000002.1:3498087.0-3617988.0] [family=Voyager]
>SBS000485 [organism=Kretzschmaria deusta] [lineage=Fungi; Xylariales; Xylariaceae; Kretzschmaria] [location=scaffold34:389647.0-492446.0] [assembly=GCA_023159155.1] [family=Phoenix]
>SBS000486 [organism=Endocarpon pusillum] [lineage=Fungi; Verrucariales; Verrucariaceae; Endocarpon] [location=scaffold99:95129.0-116403.0] [family=Phoenix]
>SBS000487 [organism=Trichophyton rubrum] [lineage=Fungi; Onygenales; Arthrodermataceae; Trichophyton] [location=KK210308.1:391843.0-413622.0] [family=Enterprise]
>SBS000488 [organism=Alternaria alternata] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=VZUP01000002.1:2012452.0-2106818.0] [family=Voyager]
>SBS000489 [organism=Macrophomina phaseolina] [lineage=Fungi; Botryosphaeriales; Botryosphaeriaceae; Macrophomina] [location=None:nan-nan] [family=None]
>SBS000490 [organism=Fusarium solani] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAGTJS010000005.1:2081580.0-2209971.0] [family=Arwing]
>SBS000491 [organism=Macrophomina phaseolina] [lineage=Fungi; Botryosphaeriales; Botryosphaeriaceae; Macrophomina] [location=scaffold1:1720971.0-1824331.0] [assembly=GCA_020744275.1] [family=Voyager]
>SBS000492 [organism=Morchella importuna] [lineage=Fungi; Pezizales; Morchellaceae; Morchella] [location=None:nan-nan] [family=None]
>SBS000493 [organism=Orbilia oligospora] [lineage=Fungi; Orbiliales; Orbiliaceae; Orbilia] [location=WIQW01000004.1:184460.0-249927.0] [assembly=GCA_011066575.1] [family=Moya]
>SBS000494 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=DS499598.1:2226561.0-2291281.0] [family=Prometheus]
>SBS000495 [organism=Aspergillus melleus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JADPPX010000005.1:2643145.0-2894455.0] [family=Prometheus]
>SBS000496 [organism=Aspergillus niger] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=supercontig04:1867935.0-1976849.0] [family=Phoenix]
